Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Sexo del infractor;Periodo;Total
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2023;3.953
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2022;4.990
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2021;5.027
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2020;4.141
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2019;5.749
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2018;6.098
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2017;6.492
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2016;6.836
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2015;6.983
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2014;6.854
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Total;2013;6.203
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2023;3.507
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2022;4.440
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2021;4.548
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2020;3.671
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2019;5.273
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2018;5.534
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2017;5.924
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2016;6.289
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2015;6.417
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2014;6.358
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Hombres;2013;5.713
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2023;446
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2022;550
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2021;479
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2020;470
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2019;476
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2018;564
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2017;568
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2016;547
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2015;566
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2014;496
A Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;Mujeres;2013;490
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2023;13
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2022;14
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2021;4
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2020;19
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2019;11
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2018;15
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2017;14
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2016;16
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2015;18
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2014;20
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Total;2013;12
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2023;5
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2022;6
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2021;2
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2020;5
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2019;2
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2018;7
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2017;6
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2016;6
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2015;5
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2014;8
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Hombres;2013;4
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2023;8
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2022;8
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2021;2
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2020;14
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2019;9
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2018;8
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2017;8
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2016;10
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2015;13
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2014;12
A Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;Mujeres;2013;8
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2023;121.593
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2022;127.772
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2021;126.673
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2020;99.660
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2019;141.686
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2018;142.426
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2017;136.992
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2016;122.647
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2015;74.790
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2014;64.620
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2013;60.645
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2023;86.747
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2022;92.321
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2021;90.823
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2020;71.207
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2019;98.489
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2018;98.667
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2017;95.207
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2016;86.727
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2015;59.272
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2014;54.141
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Hombres;2013;51.719
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2023;34.846
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2022;35.451
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2021;35.850
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2020;28.453
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2019;43.197
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2018;43.759
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2017;41.785
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2016;35.920
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2015;15.518
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2014;10.479
A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Mujeres;2013;8.926
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2023;60.348
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2022;58.193
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2021;57.535
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2020;47.533
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2019;71.671
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2018;70.102
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2017;63.721
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2016;55.282
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2015;20.611
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2014;11.606
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Total;2013;10.751
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2023;36.456
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2022;35.622
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2021;34.859
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2020;28.603
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2019;41.536
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2018;40.401
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2017;35.970
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2016;31.319
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2015;12.617
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2014;7.942
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Hombres;2013;7.493
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2023;23.892
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2022;22.571
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2021;22.676
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2020;18.930
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2019;30.135
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2018;29.701
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2017;27.751
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2016;23.963
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2015;7.994
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2014;3.664
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;Mujeres;2013;3.258
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2023;21.414
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2022;23.210
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2021;22.564
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2020;18.149
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2019;24.004
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2018;25.756
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2017;27.713
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2016;28.758
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2015;29.499
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2014;30.815
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Total;2013;30.509
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2023;19.814
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2022;21.452
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2021;20.847
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2020;16.824
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2019;22.234
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2018;23.765
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2017;25.615
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2016;26.663
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2015;27.486
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2014;28.601
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Hombres;2013;28.488
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2023;1.600
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2022;1.758
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2021;1.717
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2020;1.325
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2019;1.770
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2018;1.991
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2017;2.098
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2016;2.095
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2015;2.013
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2014;2.214
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;Mujeres;2013;2.021
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2023;7.647
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2022;8.010
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2021;7.428
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2020;6.484
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2019;7.271
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2018;7.263
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2017;7.535
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2016;7.882
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2015;8.187
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2014;8.755
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Total;2013;9.169
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2023;6.932
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2022;7.286
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2021;6.662
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2020;5.901
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2019;6.483
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2018;6.407
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2017;6.695
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2016;7.062
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2015;7.331
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2014;7.855
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Hombres;2013;8.293
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2023;715
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2022;724
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2021;766
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2020;583
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2019;788
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2018;856
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2017;840
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2016;820
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2015;856
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2014;900
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;Mujeres;2013;876
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2023;13.767
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2022;15.200
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2021;15.136
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2020;11.665
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2019;16.733
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2018;18.493
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2017;20.178
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2016;20.876
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2015;21.312
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2014;22.060
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Total;2013;21.340
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2023;12.882
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2022;14.166
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2021;14.185
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2020;10.923
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2019;15.751
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2018;17.358
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2017;18.920
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2016;19.601
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2015;20.155
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2014;20.746
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Hombres;2013;20.195
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2023;885
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2022;1.034
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2021;951
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2020;742
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2019;982
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2018;1.135
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2017;1.258
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2016;1.275
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2015;1.157
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2014;1.314
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;Mujeres;2013;1.145
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2023;1.409
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2022;1.523
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2021;1.487
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2020;1.215
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2019;1.729
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2018;1.846
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2017;1.975
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2016;1.931
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2015;2.038
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2014;2.322
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Total;2013;2.444
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2023;1.337
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2022;1.450
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2021;1.408
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2020;1.163
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2019;1.644
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2018;1.751
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2017;1.892
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2016;1.849
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2015;1.951
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2014;2.223
A Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;Hombres;2013;2.340
